OBJECTID,name,dam_name,district,dist_sym,division,div_sym,dry,dist_to_infest_km,surface_area_km,connectivity,num_connections,perc_open_water_25mi,perc_perennial_snowice_25mi,perce_dev_openspace_25mi,perc_dev_lowintensity_25mi,perc_dev_medintensity_25mi,perc_dev_highintensity_25mi,perc_barren_25mi,perc_forest_25mi,perc_shrubscrub_25mi,perc_herbaceous_25mi,perc_haypasture_25mi,perc_crops_25mi,perc_wetland_25mi,perc_open_water_50mi,perc_perennial_snowice_50mi,perce_dev_openspace_50mi,perc_dev_lowintensity_50mi,perc_dev_medintensity_50mi,perc_dev_highintensity_50mi,perc_barren_50mi,perc_forest_50mi,perc_shrubscrub_50mi,perc_herbaceous_50mi,perc_haypasture_50mi,perc_crops_50mi,perc_wetland_50mi,mean_elev_m,mean_slope,perc_CaO_25mi,perc_alluvial_25mi,perc_eolian_25mi,perc_glacial_glaciofluvial_25mi,perc_colluvial_25mi,perc_organic_rich_25mi,perc_proglacial_25mi,perc_resid_volcanic_art_wat_25mi,hardness_range,min_hardness,max_hardness,pH_range,pH_min,pH_max,infest_status
2,Santa Rosa Reservoir,Santa Rosa Dam,Albuquerque District,SPA,South Pacific Division,SPD,No,351.5422777,27.66958801,None,0,0.115959034,0,0.330862336,0.130741463,0.077015637,0.009337704,0.010168024,1.259024632,94.24645004,3.325379497,0.003729637,0.115074266,0.376257732,0.15041025,0,0.469077015,0.133700147,0.078955623,0.010979048,0.018252039,7.176185429,82.39649774,8.496530895,0.020365921,0.589850406,0.459195486,1447.027027,0.595404167,13.53349255,0,0,0,0,0,0,100,779.0-3200.0,779,3200,8.1-8.4,8.1,8.4,0
3,Conchas Reservoir,Conchas Dam,Albuquerque District,SPA,South Pacific Division,SPD,No,308.783223,35.54552759,None,0,0.24475187,0,0.285653566,0.068811234,0.032418289,0.001515338,0.014619282,6.059027866,88.21987698,4.460520548,0.00217364,0.039721719,0.570909666,0.249278476,0,0.470670742,0.134805397,0.068741898,0.008968411,0.017080763,4.70760022,79.15473037,13.56158607,0.023594894,1.096299169,0.506643587,1283.408163,0.547816302,17.25434698,0,0,0,0,0,0,100,430.0-779.0,430,779,8.1-8.4,8.1,8.4,0
4,Cochiti Reservoir,Conchiti Lake,Albuquerque District,SPA,South Pacific Division,SPD,No,311.2756432,6.350849888,None,0,0.219511355,0,2.328839021,1.157707121,0.689505635,0.158542253,0.127246003,21.91599957,62.47946757,9.45062025,0.101977494,0.437060519,0.933523209,0.159972897,0,2.137279948,1.191082994,1.049769731,0.275906697,0.147509522,33.80889024,50.76946975,8.744506627,0.425931726,0.598316822,0.691363046,1644.454545,1.297042283,5.063879859,64.19263456,0,0,4.121813031,0,0,31.68555241,45.0-225.0,45,225,8.1-8.4,8.1,8.4,0
5,Abiquiu Reservoir,Abiquiu Dam,Albuquerque District,SPA,South Pacific Division,SPD,No,265.9200626,16.71244713,None,0,0.328157733,0,0.787416992,0.231998357,0.080139659,0.013555145,0.100855754,45.43034162,46.54457452,4.406832341,0.131772438,0.697528582,1.246826864,0.202088092,0,1.078985505,0.406374185,0.199401648,0.046479757,0.097669515,37.04009462,55.85367769,3.404000655,0.280607482,0.310111855,1.080508987,1888.333333,1.193717149,9.340822147,70.02960969,0,0,0,0,0,29.97039031,45.0-119.0,45,119,7.8-8.1,7.8,8.1,0
6,Trinidad Reservoir,Trinidad Dam,Albuquerque District,SPA,South Pacific Division,SPD,No,124.91683,5.049380557,None,0,0.106641722,0,0.594193808,0.302117553,0.122911763,0.02328326,0.070916667,39.46707066,27.99153017,28.80718166,0.051696995,0.920222201,1.542233542,0.124208125,0.000737301,0.487335066,0.152117255,0.061812475,0.010522159,0.333351648,27.29920308,26.97724002,42.59250658,0.165280367,0.634874391,1.160811533,1909.857143,0.874113659,8.128892534,0,0,0,0,0,0,100,119.0-225.0,119,225,7.8-8.1,7.8,8.1,0
7,John Martin Reservoir,John Martin Dam & Reservoir,Albuquerque District,SPA,South Pacific Division,SPD,No,143.3030452,45.81410142,None,0,0.711391794,0,1.17305815,0.439576739,0.186295734,0.046819374,0.060975302,0.001087897,8.691886066,71.6820268,0.078036712,14.02616366,2.902681772,0.338804891,0,1.202896803,0.312646264,0.111568487,0.019388473,0.026737729,0.508051131,13.67160103,63.45933174,0.169650087,18.74506025,1.434263115,1175.926471,0.171065497,19.13371001,1.390552882,5.194932731,0,0,0,0,93.41451439,225.0-400.0,225,400,7.8-8.1,7.8,8.1,0
11,Aquilla Lake,Aquilla Dam,Fort Worth District,SWF,Southwestern Division,SWD,No,36.42390069,12.25771299,None,0,2.957015729,0,4.323570048,1.734558165,1.009823447,0.308664768,0.135348231,12.54544191,0.585614321,42.84323558,12.20423495,18.26761518,3.084877661,2.072304271,0,4.231789512,2.882221687,2.271163246,0.767876237,0.245941897,13.11331343,1.752311525,43.05155868,13.3970624,13.79583188,2.41862523,160.8235294,0.310877385,18.37454146,96.12676056,0,0,0,0,0,3.873239437,119.0-225.0,119,225,7.8-8.1,7.8,8.1,0
12,Hords Creek Lake,Hords Creek Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,32.44450923,1.754648609,None,0,1.459642753,0,2.261328018,0.467838854,0.219933102,0.047032202,0.026574839,3.474660168,62.77970182,13.37770147,0.152377757,15.51620309,0.217005923,0.855854441,0,2.55109071,0.79089882,0.479968125,0.160559948,0.075174702,7.260938813,59.19218719,10.16442561,1.112099819,17.19407768,0.162724139,580.5,0.154186916,13.95865092,0,0,0,0,0,0,100,430.0-779.0,430,779,8.1-8.4,8.1,8.4,1
13,O. C. Fisher Lake,O C Fisher Dam and Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,73.51206893,5.739943054,None,0,0.61389227,0,2.218232828,1.252433705,0.935547874,0.353171323,0.101973918,1.567462845,69.95810922,2.803346396,0.066552747,19.91143587,0.217841002,0.598964086,0,1.374750475,0.783438812,0.44492226,0.123175373,0.058016135,1.129174232,80.83660925,3.153955452,0.044104554,11.35914509,0.093744275,581.8888889,0.096090271,11.01529153,0,0,0,0,0,0,100,430.0-779.0,430,779,8.1-8.4,8.1,8.4,0
14,Whitney Lake,Whitney Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,35.17065412,95.82309019,None,0,2.493517568,0,4.260623457,2.017096382,1.281870696,0.364154182,0.291401445,16.10308631,1.035459731,52.25043045,6.657465886,11.0088234,2.236070501,1.895415361,0,4.460731963,3.442857538,2.864787585,1.22065678,0.263085819,14.86016169,5.532526272,43.94838378,8.806287064,10.89376705,1.811339101,161.5413534,0.35817492,20.72747901,2.551168973,0,0,0,0,0,97.44883103,119.0-325.0,119,325,7.8-8.4,7.8,8.4,0
15,Waco Lake,Waco Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,33.68199411,34.77057843,None,0,2.336992684,0,4.535091772,1.957955359,1.404805896,0.548832843,0.187646011,11.00900612,0.851161291,39.67884093,12.16183567,21.95721138,3.370620043,1.65017696,0,3.544634901,1.878588101,1.259604842,0.41968604,0.279836563,14.61964453,5.046683438,37.64598244,15.26163106,15.77696385,2.616567265,140.3125,0.304951572,21.12927608,4.534272471,0,0,0,0,0,95.46572753,119.0-225.0,119,225,7.8-8.1,7.8,8.1,1
16,Navarro Mills Lake,Navarro Mills Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,55.81467414,19.14387856,None,0,2.557822789,0,3.242185566,1.821632144,0.977816156,0.336152645,0.121749403,8.870475078,0.690621966,35.49699076,23.49326379,19.635626,2.755663711,3.482042119,0,3.968032219,3.046611189,2.076696447,0.740422117,0.347021231,13.08764455,0.81441411,28.21941611,25.42698584,12.99124841,5.799465662,129.5714286,0.231793641,13.1235352,0,0,0,0,0,0,100,119.0-225.0,119,225,7.8-8.1,7.8,8.1,0
17,Proctor Lake,Proctor Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,47.28670651,19.27747206,None,0,0.884939359,0,3.015656101,0.722475944,0.330301581,0.09934167,0.129050148,15.70970846,35.48284065,29.14398887,7.120885018,6.621187576,0.739624626,0.877575862,0,2.602999902,0.73736369,0.367618739,0.09575427,0.128732192,18.35498612,34.78559595,33.06218808,3.299320995,5.134474933,0.553389255,354.952381,0.252040875,15.03327197,0,0,0,0,0,0,100,325.0-430.0,325,430,8.1-8.4,8.1,8.4,0
18,Sam Rayburn Reservoir,Sam Rayburn Dam and Reservoir,Fort Worth District,SWF,Southwestern Division,SWD,No,87.39591623,458.0630673,None,0,6.139295812,0,3.235453324,1.676675343,0.671414433,0.229816964,0.105934965,52.38404231,5.081335697,6.04005401,9.203739834,0.000784194,15.23145311,3.669033839,0,3.219069592,1.814543467,0.617417282,0.212878168,0.125303542,51.72636043,5.500212224,6.23089327,11.26374389,0.030037835,15.59050645,49.57210031,0.164508322,5.887176505,0.029668227,0,0,0,0,0,99.97033177,45.0-119.0,45,119,6.8-7.3,6.8,7.3,0
19,Steinhagen Lake,Town Bluff Dam,Fort Worth District,SWF,Southwestern Division,SWD,No,80.97458269,37.29929817,None,0,5.440457404,0,3.311599967,1.317253938,0.44316289,0.102893246,0.099417791,54.23632529,5.140791245,6.563735747,4.231451172,0.004012314,19.108899,3.953895656,0,3.443552688,1.932224675,0.665975283,0.221983877,0.144784605,50.08425896,5.13464444,5.970548783,6.407787962,0.145170897,21.89517218,25.10204082,0.09155667,4.032881933,7.736272216,0,0,0,0,0,92.26372778,45.0-119.0,45,119,6.8-7.3,6.8,7.3,0
20,Jim Chapman Lake,Jim Chapman Lake,Fort Worth District,SWF,Southwestern Division,SWD,No,54.04513645,72.72971377,None,0,2.128209926,0,3.050263256,2.240830596,0.824066984,0.312631759,0.068951431,13.30299038,0.624783066,15.03535936,44.7307148,10.66564361,7.015554845,3.435464794,0,2.880677961,2.901083091,1.421818473,0.422151604,0.195319156,20.24943135,1.538973817,13.06903588,38.91995974,6.616744701,8.349339443,129.5809524,0.200348438,9.941711842,0.873946251,0,0,0,0,0,99.12605375,119.0-225.0,119,225,7.3-7.8,7.3,7.8,0
