OBJECTID,name,dam_name,district,dist_sym,division,div_sym,dry,dist_to_infest_km,surface_area_km,connectivity,num_connections,perc_open_water_25mi,perc_perennial_snowice_25mi,perc_dev_openspace_25mi,perc_dev_lowintensity_25mi,perc_dev_medintensity_25mi,perc_dev_highintensity_25mi,perc_barren_25mi,perc_forest_25mi,perc_shrubscrub_25mi,perc_herbaceous_25mi,perc_haypasture_25mi,perc_crops_25mi,perc_wetland_25mi,perc_open_water_50mi,perc_perennial_snowice_50mi,perc_dev_openspace_50mi,perc_dev_lowintensity_50mi,perc_dev_medintensity_50mi,perc_dev_highintensity_50mi,perc_barren_50mi,perc_forest_50mi,perc_shrubscrub_50mi,perc_herbaceous_50mi,perc_haypasture_50mi,perc_crops_50mi,perc_wetland_50mi,mean_elev_m,mean_slope,perc_alluvial_25mi,perc_eolian_25mi,perc_glacial_glaciofluvial_25mi,perc_colluvial_25mi,perc_organic_rich_25mi,perc_proglacial_25mi,perc_resid_volcanic_art_wat_25mi,hardness_range,min_hardness,max_hardness,surface_ar,winter_total_precip,spring_total_precip,summer_total_precip,fall_total_precip,winter_mean_temp,spring_mean_temp,summer_mean_temp,fall_mean_temp,winter_min_temp,spring_min_temp,summer_min_temp,fall_min_temp,winter_max_temp,spring_max_temp,summer_max_temp,fall_max_temp,winter_mean_dewp,spring_mean_dewp,summer_mean_dewp,fall_mean_dewp,winter_min_vpd,spring_min_vpd,summer_min_vpd,fall_min_vpd,winter_max_vpd,spring_max_vpd,summer_max_vpd,fall_max_vpd,mean_ndci_fall,mean_ndci_spring,mean_ndci_summer,mean_ndci_winter,min_ndci_fall,min_ndci_spring,min_ndci_summer,min_ndci_winter,max_ndci_fall,max_ndci_spring,max_ndci_summer,max_ndci_winter,mean_total_visits,min_Ca,max_Ca,avg_Ca,min_pH,max_pH,avg_pH,infest_status
413,Aberdeen Lake,"Aberdeen Lk/Dm (Tenn-Tom, AL and MS)",Mobile District,SAM,South Atlantic Division,SAD,No,101.2988108,10.54225138,Lock and Dam,2,1.682972707,0,4.073733914,2.507484952,1.107772935,0.342452781,0.168106579,36.01041667,2.504838626,2.405445724,20.47701328,8.672893317,20.04686851,1.389554982,0,3.69528458,1.919760679,0.746780652,0.220350787,0.138263074,46.34773924,3.215536019,3.307572391,17.09738765,7.130393677,14.79137627,57.7,0.247129533,99.93147752,0,0,0,0,0,0.068522484,45.0-119.0,45,119,10.54225138,410.9405975,378.9279022,315.9416962,287.0708008,7.301033179,17.03496615,26.68549983,17.66306623,0.378299981,5.884500027,19.71920013,4.611299992,14.4034996,27.87639999,33.03440094,30.1901989,2.65323329,10.9855663,21.20666567,12.32009935,0.383699775,0.740599275,0.882600844,0.403099656,8.882100105,20.07159996,25.36680031,22.57460022,0.073436703,0.032010009,0.078161995,0.076438986,0.001543523,-0.015431684,0.044814569,-0.0112468,0.316138761,0.073338194,0.135001724,0.6675,1397075.364,12.96861362,18.2776165,13.48175696,6.61397934,6.883047581,6.668375268,0
5,Abiquiu Reservoir,Abiquiu Dam,Albuquerque District,SPA,South Pacific Division,SPD,No,265.9200626,16.71244713,None,0,0.328157733,0,0.787416992,0.231998357,0.080139659,0.013555145,0.100855754,45.43034162,46.54457452,4.406832341,0.131772438,0.697528582,1.246826864,0.202088092,0,1.078985505,0.406374185,0.199401648,0.046479757,0.097669515,37.04009462,55.85367769,3.404000655,0.280607482,0.310111855,1.080508987,1888.333333,1.193717149,70.02960969,0,0,0,0,0,29.97039031,45.0-119.0,45,119,16.71244713,33.71169949,52.27569962,101.2666988,62.4516983,0.299000015,10.18493303,21.68296623,11.2980334,-8.03730011,-2.256000042,10.80169964,-3.350999832,9.366199493,23.61730003,31.7016983,26.52869987,-8.514166196,-5.020666679,5.887199819,-1.104466756,0.831199884,1.69299984,3.53099966,1.589000344,9.051699638,25.06340027,37.54249954,27.57530022,-0.064892741,-0.041848129,-0.03638059,-0.060835361,-0.13994853,-0.12741572,-0.137777649,-0.143023564,0.007459958,0.013764026,0.023665097,0.014187948,157526.5,39.65467453,67.51635742,67.11640851,8.199846268,8.292733192,8.240697965,0
379,Alamo Lake,Alamo Dam,Los Angeles District,SPL,South Pacific Division,SPD,No,615.9159505,54.36584527,None,0,0.178405979,0,0.25429195,0.069638638,0.019162738,0.004360383,0.714184901,0.106013415,96.67589614,1.321565908,0.00634933,0.274270665,0.375859949,0.383495342,0,0.581463782,0.335943844,0.269657338,0.059228721,4.44288483,4.045561002,85.82843051,2.511870445,0.049520073,1.167062314,0.324881801,358.0128205,1.167654908,59.31142928,0,0,0,0,0,40.68857072,225.0-325.0,225,325,54.36584527,70.88569832,26.81100035,45.73989964,39.24969959,11.72933324,21.22943242,33.10053253,23.03599962,3.096699953,8.234999657,21.21010017,7.19630003,21.24409866,35.47850037,43.00359726,39.25139999,-2.299500028,-0.802366644,8.510533174,3.2439334,2.462799788,4.622200012,15.24309921,4.482599735,20.29649925,52.90209961,74.18840027,60.35939789,-0.078098274,-0.034768397,-0.049140258,-0.089937057,-0.111352835,-0.133968794,-0.102583403,-0.154945532,-0.030157655,0.147360797,0.003180784,-0.02381703,53254.63636,36.32072449,46.29324341,38.15524691,8.191953659,8.289861679,8.263878912,0
411,Aliceville Lake,Tom Bevill Lock and Dam,Mobile District,SAM,South Atlantic Division,SAD,No,57.49435055,22.0383943,Lock and Dam,2,2.153635582,0,3.384243235,1.711824251,0.800779814,0.206833828,0.140347107,33.20834888,2.503714418,2.333852034,21.0126298,7.18846557,25.35532548,1.534142807,0,3.489261707,1.555898177,0.681298157,0.18930752,0.128016045,44.9139753,3.461245468,3.352471905,15.56245711,4.596055869,20.53586993,43.15384615,0.174087244,76.90990624,0,0,0,0,0,23.09009376,45.0-119.0,45,119,22.0383943,412.385788,381.6216888,335.3847961,297.1375885,7.883666356,17.59146595,26.99829928,18.1117665,1.039700031,6.620100021,20.1935997,5.177399635,15.02469921,28.35509872,33.36769867,30.71829987,3.244133313,11.41789993,21.21979968,12.61723312,0.405499816,0.802299619,1.118204832,0.448200524,9.147999763,20.69939995,26.45559883,24.05179977,0.094518184,0.035372633,0.077513535,0.03201846,0.023203709,-0.019783105,0.021143844,-0.012733965,0.497923584,0.099324461,0.121261772,0.110619613,1397075.364,13.71519375,25.04576683,19.36270896,6.371544361,7.052739143,6.818055265,0
165,Allegheny Reservoir,Kinzua Dam,Pittsburgh District,LRP,Great Lakes and Ohio River Division,LRD,No,12.75499036,85.76120659,None,0,1.167905424,0,4.185313762,1.128755823,0.552030131,0.152065838,0.128745616,75.23282595,0.653070009,0.464164102,10.28585264,2.314134113,3.735136602,6.360386116,0,4.347441735,1.396160041,0.629989625,0.231310438,0.126341328,65.28069503,0.611108411,0.483462272,11.21012685,4.462478651,3.361324602,413.9640288,1.664951981,19.77068647,0,0,25.57905337,0,0,54.65026015,45.0-119.0,45,119,85.76120659,253.6617966,289.7926941,347.0167923,303.6687927,-4.0461332,6.300533225,18.46999931,9.005399863,-9.72369957,-5.780200005,11.14009953,-1.511999965,1.69749999,19.23449898,25.5291996,21.16819954,-6.985266685,0.725933383,14.3575662,5.41263334,0.276700109,0.400599748,0.260799915,0.168800458,2.870299816,12.72189999,15.27829933,11.25119972,0.027396934,-0.011770075,0.011294343,-0.004826377,-0.048392622,-0.129632444,-0.06679145,-0.123318444,0.133150565,0.121789202,0.07931141,0.054576661,159731.3636,9.900101662,35.6408577,17.97589763,7.215603352,7.594044685,7.443819339,0
212,Almond Lake,Almond Dam,Baltimore District,NAB,North Atlantic Division,NAD,No,41.8630443,0.556704345,None,0,0.388799635,0,5.139039759,1.205266808,0.425772383,0.098840941,0.106611075,59.19473147,0.573594463,0.296781252,19.90079726,10.58168333,2.088081629,1.788694917,0,5.010804507,1.551614164,0.600550965,0.177439088,0.130602441,55.43828451,0.552953884,0.312612877,16.87155059,14.26607472,3.298817328,412.25,2.10812475,0,0,100,0,0,0,0,45.0-119.0,45,119,0.556704345,176.8698006,235.3036957,298.5596924,258.9308014,-3.703566631,6.506999632,19.06476593,9.338199854,-10.0359993,-6.085000038,10.85680008,-1.797299981,2.647699833,20.29660034,27.1208992,22.36590004,-7.322899818,0.502766525,14.20239957,5.271266401,0.304500192,0.372800112,0.134200498,0.110401101,3.478499889,14.68969917,19.49510002,13.66860008,0.080939012,-0.010446179,0.087178209,-0.021716293,0.012848911,-0.076772379,0.006588369,-0.038975689,0.12459009,0.062068141,0.198825775,-0.001436606,59099.09091,48.9887619,48.9887619,48.9887619,8.235740662,8.235740662,8.235740662,0
103,Alum Creek Lake,Alum Creek Dam,Huntington District,LRH,Great Lakes and Ohio River Division,LRD,No,6.797171583,12.96547855,None,0,1.14912118,0,7.114797002,8.412804958,6.604238678,2.765951767,0.29663351,15.23694672,0.136485338,0.333921243,10.62459873,46.71324343,0.611257447,0.848599548,0,5.445285194,4.45698066,2.851214678,1.128891876,0.179856066,20.70351141,0.121241893,0.32640126,11.34479216,51.88718078,0.706044475,268.2105263,0.341539685,0,0,100,0,0,0,0,225.0-325.0,225,325,12.96547855,212.8747978,291.1805878,317.6937943,228.9276962,-0.685733358,10.82869959,22.63476563,12.46266651,-6.283400059,-0.745700002,16.09930038,0.932500005,4.697599888,22.73049927,29.07329941,25.26469994,-4.06976668,4.593066533,16.78746605,7.228733182,0.395900011,0.718500376,1.125599504,0.665099919,3.588699818,15.45309925,20.20240021,17.28059959,-0.004550964,-0.022534132,0.031925303,-0.047087134,-0.086546777,-0.074953235,0.003840244,-0.107369401,0.109227934,0.068068433,0.078079954,-0.016368336,1055054.364,45.04398727,113.4956818,55.51142275,7.881531239,7.954652309,7.945551375,1
306,Applegate Lake,Applegate Dam,Portland District,NWP,Northwestern Division,NWD,No,594.9544627,3.843300608,None,0,0.161826895,0,5.517873614,1.136456487,0.698835882,0.274266595,0.076025107,55.97148169,18.48614474,13.2196625,3.54194503,0.02950322,0.88597824,0.270716378,0,3.582334559,0.873643335,0.496172857,0.174345554,0.277994687,53.40570827,24.95938399,10.90272778,3.102370963,1.168039258,0.786562372,619.75,2.524487495,0,0,0,0,0,0,100,45.0-119.0,45,119,3.843300608,395.0049057,184.1367989,41.53679848,167.335701,3.722899914,9.925966422,19.86616643,11.73736652,-1.959100008,0.086300001,8.200399399,0.127199993,11.37179947,21.43540001,31.25209999,27.4531002,-1.288666606,1.51009995,7.217699687,2.631933351,0.245299906,0.507099569,2.10529995,0.336400121,7.543299675,18.7003994,36.06369781,29.0821991,0.024022712,-0.061141268,-0.096797418,0.029355819,-0.027856504,-0.50481451,-0.224092655,-0.013711799,0.055036949,0.034850078,-0.003652934,0.056308214,NA,17.7390995,19.10346413,18.85376811,7.822360039,7.889538288,7.83465451,0
11,Aquilla Lake,Aquilla Dam,Fort Worth District,SWF,Southwestern Division,SWD,No,36.42390069,12.25771299,None,0,2.957015729,0,4.323570048,1.734558165,1.009823447,0.308664768,0.135348231,12.54544191,0.585614321,42.84323558,12.20423495,18.26761518,3.084877661,2.072304271,0,4.231789512,2.882221687,2.271163246,0.767876237,0.245941897,13.11331343,1.752311525,43.05155868,13.3970624,13.79583188,2.41862523,160.8235294,0.310877385,96.12676056,0,0,0,0,0,3.873239437,119.0-225.0,119,225,12.25771299,204.4628983,293.5337982,191.2396965,256.9296951,9.298399925,18.73933252,28.71573257,19.89466604,1.951200008,8.115200043,21.53619957,7.539899826,16.74880028,29.06979942,35.90979767,32.33519745,2.978233218,12.01543331,19.87226677,12.34836642,0.846600175,1.204899311,2.406501293,1.09550035,11.50799942,21.79979897,39.1894989,30.42770004,0.118592543,0.041936076,0.070413564,0.030166444,0.007221922,0.001624555,0.024809754,-0.060040694,0.169973752,0.085146467,0.156633393,0.066447148,38735.09091,58.06983566,92.17417908,73.87075716,8.044807434,8.092736244,8.071042608,0
62,Arcadia Lake,Arcadia Lake Dam,Tulsa District,SWT,Southwestern Division,SWD,No,16.64368576,7.031580115,None,0,1.778863387,0,6.465552034,5.500101595,6.814796007,2.750901292,0.204891859,23.0120464,1.258871044,38.72200984,2.72640705,10.44484574,0.320713747,1.306166827,0,4.445188791,2.710988737,2.615170092,0.96987952,0.18673348,20.76235074,1.013711981,43.39609246,4.062067195,18.06114895,0.470501221,305.5555556,0.282672078,60.26888604,0,0,0,0,0,39.73111396,225.0-325.0,225,325,7.031580115,113.5060005,277.7776947,293.889595,223.6647987,4.393366496,15.43183327,27.18289884,16.64923255,-3.176199913,3.512300014,19.65970039,3.509500027,12.06879997,26.7105999,34.53669739,29.78399849,-1.899100025,8.354533354,19.11520004,9.583566189,0.670100331,1.146800756,2.580699444,1.033599615,9.416099548,19.50559998,33.93740082,25.28310013,0.120495276,0.037928039,0.087016699,-0.071844448,0.071078619,-0.056170059,-0.002130638,-0.110976908,0.186055296,0.118004046,0.144000711,0.004368003,354660.9091,65.10034943,69.45298004,65.40395643,7.966937065,8.011731148,8.008606647,0
