"","MeanDecreaseAccuracy"
"dist_to_infest_km",38.8921686186294
"surface_area_km",12.7273730524239
"connectivity",6.37596138621291
"num_connections",8.21584956812728
"perc_open_water_25mi",9.20798690176913
"dev_sum_25mi",6.11223639129195
"perc_barren_25mi",4.74839813896329
"perc_forest_25mi",9.17723822407351
"perc_shrubscrub_25mi",11.1161709544407
"perc_herbaceous_25mi",6.32217136992078
"perc_haypasture_25mi",8.57227131956144
"perc_crops_25mi",8.92838506266621
"mean_elev_m",8.36244895703004
"mean_slope",8.34297556967009
"perc_alluvial_25mi",6.835920920848
"perc_eolian_25mi",-2.19152459781137
"perc_glacial_glaciofluvial_25mi",4.01003136246392
"perc_colluvial_25mi",5.14636368283782
"perc_organic_rich_25mi",3.60650291045869
"perc_proglacial_25mi",2.70930629606161
"perc_resid_volcanic_art_wat_25mi",6.7455250892394
"max_hardness",6.70690071627694
"total_precip",12.3603809936965
"summer_mean_temp",12.9571537472339
"mean_ndci_summer",8.40555999955624
"mean_total_visits",3.17662870205019
"max_Ca",19.4889308182066
"max_pH",10.6012795360708
